天泉乐欣,18种氨基酸注射液
锐思力,阿利吉仑
固邦,阿仑膦酸钠片
天可,阿仑膦酸钠片
福善美,阿仑膦酸钠片
艾清,阿米卡星洗液
都可喜,阿米三嗪萝巴新片
力百汀,阿莫西林/克拉维酸钾片
阿林新,阿莫西林分散片
再林,阿莫西林分散片
阿莫仙,阿莫西林胶囊
真棒,阿莫西林胶囊
阿克林  ,阿莫西林胶囊
益萨林,阿莫西林胶囊
迪康,阿莫西林胶囊
阿莫强,阿莫西林胶囊
阿莫灵,阿莫西林胶囊
亚宝力可,阿莫西林咀嚼片
再林,阿莫西林颗粒
今辰,阿莫西林颗粒
金利辰,阿莫西林克拉维酸钾（14:1）片干混悬剂
棒林,阿莫西林克拉维酸钾(4:1)干混悬剂
瑞思,阿莫西林克拉维酸钾（4:1）干混悬剂
奥格门汀,阿莫西林克拉维酸钾（7:1）片
君尔清,阿莫西林克拉维酸钾分散片
胜艾,阿莫西林克拉维酸钾分散片
尤林加,阿莫西林克拉维酸钾分散片
毕林,阿莫西林克拉维酸钾分散片
博美欣,阿莫西林克拉维酸钾分散片(4:1)
君尔清,阿莫西林克拉维酸钾分散片(7:1)
铿镪,阿莫西林克拉维酸钾分散片(7:1)
莱得怡,阿莫西林克拉维酸钾干混悬剂
棒林,阿莫西林克拉维酸钾干混悬剂
金力舒,阿莫西林克拉维酸钾干混悬剂
力百汀,阿莫西林克拉维酸钾干混悬剂
强力阿莫仙,阿莫西林克拉维酸钾干混悬剂
铿锵,阿莫西林克拉维酸钾干混悬剂(7:1)
奥先,阿莫西林克拉维酸钾干混悬剂(7:1)
巨泰,阿莫西林克拉维酸钾胶囊
巨泰,阿莫西林克拉维酸钾胶囊(4:1)
健澳,阿莫西林克拉维酸钾咀嚼片
艾克尔,阿莫西林克拉维酸钾咀嚼片
健澳,阿莫西林克拉维酸钾片
莱得怡,阿莫西林克拉维酸钾片
安奇,阿莫西林克拉维酸钾片
君尓清,阿莫西林克拉维酸钾片
力百汀,阿莫西林克拉维酸钾片
奥先,阿莫西林克拉维酸钾片(7:1)
安灭菌,注射用阿莫西林钠克拉维酸钾
益萨林,阿莫西林片
青帝威,阿莫西林舒巴坦匹酯胶囊
特福猛,阿莫西林舒巴坦匹酯片
悉林,阿莫西林舒巴坦匹酯片
澳广,阿莫西林双氯西林钠胶囊
凯力达,阿莫西林双氯西林钠胶囊
维净,阿莫西林双氯西林钠胶囊
瑞婷,阿那曲唑片
瑞宁得,阿那曲唑片
益灵舒,阿尼西坦颗粒
忆立福,阿尼西坦片
艾乐妥,阿哌沙班片
佳乐定,阿普唑仑片
大德,阿奇霉素肠溶片
维宏,阿奇霉素肠溶片
赛乐欣,阿奇霉素分散片
费舒美,阿奇霉素分散片
快迪,阿奇霉素分散片
安弘,阿奇霉素分散片
阿舒美,阿奇霉素分散片
尤尼克,阿奇霉素分散片
力禾,阿奇霉素分散片
齐迈星,阿奇霉素分散片
丽珠奇乐,阿奇霉素分散片
信达康,阿奇霉素分散片
其仙,阿奇霉素分散片
君洁,阿奇霉素分散片
欣匹特,阿奇霉素分散片
维宏,阿奇霉素干混悬剂
乐美奇,阿奇霉素干混悬剂
希舒美,阿奇霉素干混悬剂
维宏,阿奇霉素胶囊
泰力特,阿奇霉素胶囊
谊奇康,阿奇霉素胶囊
舒美特,阿奇霉素胶囊
洛奇,阿奇霉素胶囊
岩沙,阿奇霉素颗粒
泰力特,阿奇霉素颗粒
再奇,阿奇霉素颗粒
罗欣快宇,阿奇霉素颗粒
赛奇,阿奇霉素颗粒
抒罗康,阿奇霉素氯化钠注射液
欣匹特,阿奇霉素氯化钠注射液
西乐欣,阿奇霉素片
希舒美,阿奇霉素片
维宏,阿奇霉素片
舒美特,阿奇霉素片
格罗特明,阿奇霉素片
浦乐奇,阿奇霉素片
宾奇,阿奇霉素葡萄糖注射液
利可思,阿奇霉素葡萄糖注射液
中宝奇力,阿奇霉素葡萄糖注射液
依诺达,阿奇霉素葡萄糖注射液
克严力,阿奇霉素葡萄糖注射液
普贺,阿奇霉素葡萄糖注射液
西乐欣,阿奇霉素葡萄糖注射液
利力欣,阿奇霉素葡萄糖注射液
八奇,阿奇霉素软胶囊
顺峰康奇,阿奇霉素糖浆
苏爽,阿奇霉素细粒剂
亚思达,阿奇霉素注射液
利普欣,阿奇霉素注射液
意美,阿瑞匹坦胶囊
速维普,阿舒瑞韦软胶囊
息斯敏,阿司咪唑片
介宁,阿司匹林肠溶缓释片
伯基,阿司匹林肠溶胶囊
益欣雪,阿司匹林肠溶胶囊
拜阿司匹灵,阿司匹林肠溶片
协美达,阿司匹林缓释片
赛宁,阿司匹林缓释片
西司奇,阿司匹林可待因片
巴米尔,阿司匹林泡腾片
延先,阿司匹林片
赛同,阿司匹林双嘧达莫缓释胶囊
恒宜,阿司匹林双嘧达莫缓释胶囊
天吉,阿司匹林双嘧达莫片
阿佳希,阿司匹林维生素C分散片
爱力生,阿糖胞苷注射液
必兰 ( 碧兰麻 ),阿替卡因肾上腺素注射液
万马,阿替洛尔片
天诺敏,阿替洛尔片
氨酰心安,阿替洛尔片
尤佳,阿托伐他汀钙胶囊
立普妥,阿托伐他汀钙片
山乐汀,阿托伐他汀钙片
阿乐,阿托伐他汀钙片
方希,阿维A胶囊
新体卡松,阿维A胶囊
邦妥,阿魏酸钠氯化钠注射液
新悦,阿魏酸钠氯化钠注射液
舒脑欣乐,阿魏酸钠片
双维,阿魏酸钠葡萄糖注射液
欣桂舒,阿魏酸钠葡萄糖注射液
全威舒平,阿魏酸钠注射液
保肾康,阿魏酸哌嗪片
亨达盛康,阿魏酸哌嗪片
顺松,阿西美辛胶囊
乐知苹,阿西莫司
正大捷普,阿昔洛韦滴眼液
泰立丹,阿昔洛韦分散片
欧力康,阿昔洛韦分散片
沙威洛,阿昔洛韦胶囊
爱尔新,阿昔洛韦胶囊
天诚惜尔,阿昔洛韦胶囊
邦纳,阿昔洛韦咀嚼片
洁罗维,阿昔洛韦氯化钠注射液
济民维新,阿昔洛韦氯化钠注射液
洛芙,阿昔洛韦凝胶
可包,阿昔洛韦片
艾思克,阿昔洛韦片
丽科平,阿昔洛韦片
佑康,阿昔洛韦葡萄糖注射液
仁悦,阿昔洛韦乳膏
可包,阿昔洛韦乳膏
苏维乐,阿昔洛韦软膏
无环尿苷,阿昔洛韦软膏
博士多为,阿昔洛韦注射液
洁珂,阿昔洛韦注射液
益平,阿昔莫司分散片
司里蒙,阿昔莫司胶囊
益平,阿昔莫司胶囊
英立达,阿昔替尼片
贝琪,阿折地平片
雅利,阿佐塞米片
莱美舒,埃索美拉唑肠溶胶囊
耐信,埃索美拉唑镁肠溶片
金博瑞,艾地苯醌片
艾得辛,艾拉莫德片
艾民泰,盐酸非索非那定胶囊
太非,盐酸非索非那定胶囊
壹丽安,艾普拉唑肠溶片
恒扬,艾瑞昔布片
百泌达,艾塞那肽注射液
耐信,艾司奥美拉唑镁肠溶片
舒乐安定,艾司唑仑片
鲁平,艾司唑仑片
川流,爱普列特片
安宫牛黄丸,安宫牛黄片
安特尔,十一酸睾酮胶丸
切诺,桉柠蒎肠溶软胶囊
恩普洛,氨苄西林丙磺舒胶囊
恩普洛,氨苄西林-丙磺舒胶囊
安必仙,氨苄西林胶囊
白敬宇,氨茶碱片
舒视明,氨碘肽滴眼液
平安行,氨酚巴妥片
博那痛,氨酚待因片（Ⅰ）
安度芬,氨酚待因片（Ⅱ）
泰诺安,氨酚拉明片
维快,氨酚氯雷伪麻缓释片
丰莱,氨酚氯汀伪麻片
小白,氨酚麻美糖浆
立天霖,氨酚美芬伪麻分散片
达诺,氨酚美伪麻片与苯酚伪麻片
达诺日夜片,氨酚美伪麻与苯酚伪麻片
喜舒敏,氨酚那敏片、维B1那敏片复合包装
泰勒宁,氨酚羟考酮胶囊
泰勒宁,氨酚羟考酮片
联邦菲迪乐,氨酚曲麻片
及通安,氨酚曲马多片
立生通,氨酚曲马多片
路盖克,氨酚双氢可待因片
布瑞芬,氨酚维C分散片
时美百服咛,氨酚伪麻滴剂
达风,氨酚伪麻胶囊
哌斯克,氨酚伪麻胶囊(Ⅱ)
日夜百服咛,氨酚伪麻美芬片（日片）/氨麻美敏片Ⅱ（夜片）
日夜百服咛,氨酚伪麻美芬片
白加黑,氨酚伪麻美芬片Ⅱ/氨麻苯美片
塞普,氨酚伪麻那敏胶囊
克感来宁,氨酚伪麻那敏咀嚼片
凡诺,氨酚伪麻那敏咀嚼片
彼诺,氨酚伪麻那敏片(Ⅰ)
海王银得菲,氨酚伪麻那敏片(Ⅱ)
必停,氨酚伪麻片
玉安立克,氨酚伪麻片
必停,氨酚伪麻片(Ⅱ)
劲得,氨酚伪麻片(Ⅱ)
索里昂,氨磺必利片
帕可,氨磺必利片
克灵麦,氨基酸葡萄糖注射液
维沃,氨基酸型肠内营养粉
喜保宁,氨己烯酸片
唯卡,氨甲苯酸氯化钠注射液
安本,氨甲苯酸氯化钠注射液
华苏凝,氨甲苯酸葡萄糖注射液
止血芳酸,氨甲苯酸注射液
贝瑞宁,氨甲环酸氯化钠注射液
捷宁,氨甲环酸氯化钠注射液
捷凝,氨甲环酸氯化钠注射液
妥塞敏,氨甲环酸片
速宁,氨甲环酸片
维雪,氨甲环酸注射液
妥塞敏,氨甲环酸注射液
立多忻,氨甲环酸注射液
森平,氨甲环酸注射液
汇特宁,氨甲环酸注射液
孚亢,氨甲环酸注射液
博甲,氨甲环酸注射液
速效伤风胶囊,氨咖黄敏胶囊
强乐苏,氨咖黄敏胶囊
一力,氨咖黄敏胶囊
安贝特,氨咖黄敏口服溶液
泰华,氨咖黄敏片
众益速克,氨咖黄敏片
福瑞斯,氨来呫诺糊剂
安呵,氨来呫诺糊剂
西抒迈,氨来呫诺糊剂
卢必安,氨酪酸氯化钠注射液
慧友,氨酪酸氯化钠注射液
安罗 ,氨酪酸氯化钠注射液
常瑞 ,氨酪酸氯化钠注射液
丽生贝芬,氨酪酸氯化钠注射液
图图 ,氨酪酸氯化钠注射液
拓泰,氨酪酸氯化钠注射液
亿辉洛 ,氨酪酸氯化钠注射液
竹中欣 ,氨酪酸氯化钠注射液
多达一,氨氯地平阿托伐他汀钙片
雷蒙欣,氨麻美敏
祺尔百服咛,氨麻美敏口服溶液
雷蒙欣,氨麻美敏片
新康泰克（红色装）,氨麻美敏片(Ⅱ)
爱美幸,氨糖美辛肠溶片
易坦静,氨溴特罗片
易坦静,氨溴特罗口服液
欧兰宁,奥氮平片
悉敏,奥氮平片
再普乐,奥氮平片
曲莱,奥卡西平口服混悬液
曲莱,奥卡西平片
仁澳,奥卡西平片
万仪,奥卡西平片
欧来宁,奥拉西坦胶囊
健朗星,奥拉西坦胶囊
欧兰同,奥拉西坦注射液
倍清星,奥拉西坦注射液
赛尼可,奥利司他胶囊
Ramezol,奥美拉唑肠溶胶囊
扶健,奥美拉唑肠溶胶囊
洛赛克,奥美拉唑肠溶胶囊
奥克,奥美拉唑肠溶胶囊
雅泰,奥美拉唑肠溶胶囊
普乐美,奥美拉唑肠溶胶囊
金奥康,奥美拉唑肠溶胶囊
奥西康,奥美拉唑肠溶片
爱尼,奥美拉唑肠溶片
绅丽雨,奥美拉唑肠溶片
双鲸吉立,奥美拉唑肠溶片
洛镁赛,奥美拉唑镁肠溶片
洛赛克,奥美拉唑镁肠溶片
耐信,奥美拉唑镁肠溶片
苹芳淑,奥美拉唑钠肠溶片
利韦廷,奥美拉唑钠肠溶片
奥韦康,奥美拉唑钠肠溶片
傲坦,奥美沙坦酯片
兰沙,奥美沙坦酯片
帕斯坦,奥沙拉秦钠胶囊
畅美,奥沙拉秦钠胶囊
佳乐同泰,奥沙利铂甘露醇注射液
辰雅,奥沙利铂甘露醇注射液
艾恒,奥沙利铂注射液
艾克博康,奥沙利铂注射液
诺碧松,奥沙普秦肠溶胶囊
诺松,奥沙普秦肠溶片
奥克清,奥沙普秦肠溶片
澳谱欣,奥沙普秦分散片
奥沙新,奥沙普秦片
诺德伦,奥沙普秦片
奥克清,奥沙普秦片
斯巴敏,奥替溴铵片
泰方,奥硝唑分散片
固特,奥硝唑分散片
奥博林,奥硝唑胶囊
齐克,奥硝唑胶囊
奥立泰,奥硝唑胶囊
奥立妥,奥硝唑氯化钠注射液
内德滋,奥硝唑氯化钠注射液
圣诺安,奥硝唑氯化钠注射液
圣诺安,奥硝唑片
潇然,奥硝唑片
傲宁,奥硝唑片
衡博来,奥硝唑片
圣诺,奥硝唑葡萄糖注射液
瑞申,奥硝唑栓
亚洁,奥硝唑栓
圣诺康,奥硝唑阴道泡腾片
潇然,奥硝唑阴道栓
美尔凯 ,奥硝唑阴道栓
瑞申,奥硝唑阴道栓
亚洁,奥硝唑阴道栓
优伦,奥硝唑注射液
普司立,奥硝唑注射液
奥辛康,奥扎格雷钠氯化钠注射液
赐禾盈,奥扎格雷钠氯化钠注射液
奥邦,奥扎格雷钠氯化钠注射液
泰亚普昔,奥扎格雷钠氯化钠注射液
华益通  ,奥扎格雷钠氯化钠注射液
丽邦,奥扎格雷钠氯化钠注射液
齐铭雷奥,奥扎格雷钠氯化钠注射液
丹仑,奥扎格雷钠葡萄糖注射液
洲邦,奥扎格雷钠注射液
晴尔,奥扎格雷钠注射液
赫密诺,奥扎格雷钠注射液
永孜堂,八味肉桂胶囊
八珍胶囊,八珍胶囊
塞莱得,巴柳氮钠颗粒
贝乐司,巴柳氮钠片
天统,巴洛沙星片
恒捷,巴洛沙星片
郝智,巴氯芬片
枢芬,巴氯芬片
力奥来素,巴氯芬片
东菱迪芙,巴曲酶注射液
气片,白葡奈氏菌片
帕夫林,白芍总苷胶囊
白舒非,白消安注射液
潘太欣,百白破灭活脊髓灰质炎和b型流感嗜血杆菌(结合)联合疫苗
世信,百咳宁颗粒
柏美星,百蕊颗粒
龙菲刻,百癣夏塔热片
尤斯洛,斑蝥素乳膏
神奇,斑蝥酸钠注射液
安必同,棓丙酯氯化钠注射液
华士靖安,棓丙酯氯化钠注射液
美立鲁,棓丙酯葡萄糖注射液
新澳康,棓丙酯葡萄糖注射液
倍溶 ,棓丙酯氯化钠注射液
海盟维乐 ,棓丙酯氯化钠注射液
合比,棓丙酯氯化钠注射液
莱能 ,棓丙酯氯化钠注射液
络好,棓丙酯氯化钠注射液
珊德益 ,棓丙酯氯化钠注射液
益扶络,棓丙酯氯化钠注射液
馨舒,棓丙酯注射液
翰施通,棓丙酯注射液
天复初,棓丙酯注射液
络闩昕,棓丙酯注射液
亿得,棓丙酯注射液
艾索舒 ,棓丙酯注射液
柏力维可,棓丙酯注射液
蓓隆,棓丙酯注射液
迪尔希康,棓丙酯注射液
抚弘,棓丙酯注射液
港通,棓丙酯注射液
海合杏,棓丙酯注射液
和悦,棓丙酯注射液
卉林,棓丙酯注射液
金丙旨,棓丙酯注射液
君菏,棓丙酯注射液
可遇昕,棓丙酯注射液
莱珎幸,棓丙酯注射液
润祺,棓丙酯注射液
元畅,棓丙酯注射液
远浪,棓丙酯注射液
允欣,棓丙酯注射液
学稀通,棓丙酯注射液
析清,包醛氧淀粉胶囊
思考林,胞磷胆碱钠胶囊
欧迈,胞磷胆碱钠氯化钠注射液
清可宁,胞磷胆碱钠氯化钠注射液
友欣,胞磷胆碱钠氯化钠注射液
加简,胞磷胆碱钠氯化钠注射液
益落清,胞磷胆碱钠氯化钠注射液
彼迪明,胞磷胆碱钠氯化钠注射液
滨舒,胞磷胆碱钠氯化钠注射液
辰旺,胞磷胆碱钠氯化钠注射液
洁维苏,胞磷胆碱钠氯化钠注射液
久安苏欣,胞磷胆碱钠氯化钠注射液
理枢,胞磷胆碱钠氯化钠注射液
顺坦,胞磷胆碱钠氯化钠注射液
思可林,胞磷胆碱钠氯化钠注射液
先立科,胞磷胆碱钠氯化钠注射液
鑫通,胞磷胆碱钠氯化钠注射液
亿丹,胞磷胆碱钠氯化钠注射液
欣可来,胞磷胆碱钠片
赛立奥,胞磷胆碱钠葡萄糖注射液
立拓感,胞磷胆碱钠葡萄糖注射液
爱星丹,胞磷胆碱钠葡萄糖注射液
奥格尔,胞磷胆碱钠葡萄糖注射液
博朗瑞宁,胞磷胆碱钠葡萄糖注射液
德益荣,胞磷胆碱钠葡萄糖注射液
丹平,胞磷胆碱钠葡萄糖注射液
丰海清,胞磷胆碱钠葡萄糖注射液
兰桂,胞磷胆碱钠葡萄糖注射液
普美拉泰,胞磷胆碱钠葡萄糖注射液
尼可林,胞磷胆碱钠注射液
握尔泰,薄芝糖肽注射液
慷贝尔,保胎灵胶囊
安维汀,贝伐珠单抗注射液
美解眠针,贝美格注射液
卢美根,贝美前列素滴眼液
备疏,贝敏伪麻片
依思汀,贝那普利氢氯噻嗪片
沙普尔,贝诺酯分散片
益诺,贝诺酯分散片
凯那,贝前列素钠片
德纳,贝前列素钠片
贝西迪,倍他胡萝卜素胶囊
克瑞特,倍他胡萝卜素软胶囊
卡洛,倍他胡萝卜素软胶囊
晕动,苯巴比妥东莨菪碱片
鲁米那,苯巴比妥钠注射液
留可然,苯丁酸氮芥片
神怡康临,苯磺酸氨氯地平分散片
西络宁,苯磺酸氨氯地平分散片
平能,苯磺酸氨氯地平胶囊
兰迪,苯磺酸氨氯地平片
安内真,苯磺酸氨氯地平片
络活喜,苯磺酸氨氯地平片
压氏达,苯磺酸氨氯地平片
山诺宁,苯磺酸氨氯地平片
亚斯克平,苯磺酸氨氯地平片
施美力健,苯磺酸左旋氨氯地平片
施慧达,苯磺酸左旋氨氯地平片
欣他,苯磺酸左旋氨氯地平片
尼欣那,苯甲酸阿格列汀片
意泰丽,苯甲酸雌二醇软膏
欣渠,苯甲酸利扎曲普坦胶囊
欧立停,苯甲酸利扎曲普坦片
善清,苯甲酸利扎曲普坦片
保英,苯西卤铵乳膏
乐易扶,苯酰甲硝唑分散片
艾迪,苯酰甲硝唑分散片
佳乐宁,苯酰甲硝唑胶囊
步利仙,苯溴马隆胶囊
尤诺,苯溴马隆片
尔同舒,苯溴马隆片
立加利仙,苯溴马隆片
史达平,苯扎贝特缓释片
邦廸,苯扎氯铵贴
新洁而灭,苯扎溴铵溶液
爽尔利,苯唑西林钠胶囊
杏禾,苯唑西林钠胶囊
太极,鼻窦炎口服液
通宁滴剂,鼻通宁滴剂
碧通爽,鼻渊糖浆
岩列舒,比卡鲁胺胶囊
康士得,比卡鲁胺片
乐可舒,比沙可啶肠溶片
便塞停,比沙可啶肠溶片
便塞停,比沙可啶片
解泰,比沙可啶栓
诺释,比索洛尔氢氯噻嗪片
泰舒达,吡贝地尔缓释片
艾思瑞,吡非尼酮胶囊
朗欧,吡拉西坦氯化钠注射液
康容,吡拉西坦氯化钠注射液
脑复康,吡拉西坦片
益安诺,吡拉西坦葡萄糖注射液
康灵,吡拉西坦葡萄糖注射液
路思齐,吡拉西坦葡萄糖注射液
迈恩希,吡拉西坦葡萄糖注射液
庆达,吡拉西坦葡萄糖注射液
斯必克,吡拉西坦葡萄糖注射液
坦复,吡拉西坦葡萄糖注射液
通坦康,吡拉西坦葡萄糖注射液
真昔,吡拉西坦葡萄糖注射液
康容,吡拉西坦注射液
适今可,吡硫翁锌气雾剂
洛尔定,吡罗昔康凝胶
炎痛喜康片,吡罗昔康片
喜来通,吡罗昔康片
特乐思特,吡罗昔康贴片
亮克,吡罗昔康贴片
安尔克注射液,吡罗昔康注射液
爱宁达,吡美莫司乳膏
研立双,吡嘧司特钾滴眼液
珉思通,吡嘧司特钾片
艾欣益乐,吡嘧司特钾片
普利敏,吡嘧司特钾片
泽而生,吡嘧司特钾片
卡林优,吡诺克辛滴眼液
卡他灵,吡诺克辛滴眼液
白内停,吡诺克辛钠滴眼液
美德沙,扁桃酸栓
莎普爱思,苄达赖氨酸滴眼液
吉诺通,标准桃金娘油肠溶胶囊
奥迈必利,别嘌醇缓释胶囊
易达通,别嘌醇缓释片
力肽,丙氨酰谷氨酰胺注射液
多蒙特,丙氨酰谷氨酰胺注射液
辰佑,丙氨酰谷氨酰胺注射液
莱美活力,丙氨酰谷氨酰胺注射液
竞安,丙泊酚中/长链脂肪乳注射液
乐维静,丙泊酚注射液
静安,丙泊酚注射液
力蒙欣,丙泊酚注射液
得普利麻,丙泊酚注射液
敖康欣,丙硫氧嘧啶肠溶片
伯克纳,丙酸倍氯米松鼻气雾剂
贝可乐,丙酸倍氯米松粉雾剂
必可酮,丙酸倍氯米松气雾剂
无极膏,丙酸倍氯米松软膏
辅舒良,丙酸氟替卡松鼻喷雾剂
克廷肤,丙酸氟替卡松乳膏
辅舒酮,丙酸氟替卡松吸入气雾剂
娇莎,丙酸交沙霉素干糖浆
贝贝莎,丙酸交沙霉素颗粒
美尔杰,丙酸氯倍他索乳膏
恩肤霜,丙酸氯倍他索乳膏
喜复至,丙戊酸钠缓释片
典泰,丙戊酸钠缓释片
德巴金,丙戊酸钠缓释片
德巴金,丙戊酸钠口服溶液
达宁,丙氧氨酚片
全可利,波生坦片
润怡,玻璃酸钠滴眼液
爱丽,玻璃酸钠滴眼液
尖峰,玻璃酸钠滴眼液
HYCOSAN,玻璃酸钠滴眼液
信润明,玻璃酸钠滴眼液
哈艾路,玻璃酸钠注射液
阿尔治,玻璃酸钠注射液
施沛特,玻璃酸钠注射液
佰备,玻璃酸钠注射液
佰奕,玻璃酸钠注射液
欣维可,玻璃酸钠注射液
诺科飞,泊沙康唑口服混悬液
博欣（液体）,静注人免疫球蛋白（PH4）
长予美,补血调经片
千金,补血益母颗粒
雷诺考特,布地奈德鼻喷雾剂
普米克都保,布地奈德粉吸入剂
信必可都保,布地奈德福莫特罗粉吸入剂
吉舒,布地奈德气雾剂
普米克,布地奈德气雾剂
宝益苏,布地奈德气雾剂
沐而畅,布地奈德吸入粉雾剂
亿活,布拉氏酵母菌散
亿活,布拉氏酵母菌胶囊
亿活,布拉氏酵母菌散剂
派立明,布林佐胺滴眼液
波菲特,布洛芬搽剂
贝乐芬,布洛芬分散片
泰宝,布洛芬缓释胶囊
芬必得,布洛芬缓释胶囊
芬尼康,布洛芬缓释片
抚尔达,布洛芬缓释片
美林,布洛芬混悬滴剂
托恩,布洛芬混悬滴剂
托恩,布洛芬混悬液
吉浩,布洛芬混悬液
恬倩,布洛芬混悬液
迪尔诺,布洛芬混悬液
安瑞克,布洛芬颗粒
倍芬,布洛芬口腔崩解片
欣荻芬,布洛芬口腔崩解片
芬克,布洛芬泡腾片
芬必得,布洛芬乳膏
托安,布洛伪麻分散片
伯舒,布洛伪麻分散片
可泰舒,布洛伪麻分散片
敢宁,布洛伪麻缓释片
芬世达,布洛伪麻胶囊
双佶,布洛伪麻片
长龙凯尔,布洛伪麻片
爱菲乐,布洛伪麻片
利了,布美他尼片
参芪沙棘合剂,参黄养阴胶囊
降糖丸,参精止渴丸
美纳舒,参苓白术颗粒
立效,参苓白术散
步长,参芍胶囊
信邦,参苏胶囊
佰塞通,参芎葡萄糖注射液
乌体林斯,草分枝杆菌F.U.36注射液
消脱止-M,草木犀流浸液片
百适可,草酸艾司西酞普兰片
来士普,草酸艾司西酞普兰片
关维,草乌甲素胶丸
赛福美,草乌甲素片
贻晗柠,茶苯海明含片
迪帕米,茶碱缓释胶囊
埃斯玛隆,茶碱缓释胶囊
时尔平,茶碱缓释胶囊（Ⅱ）
确乐苏,茶碱缓释片
舒弗美,茶碱缓释片
比川,茶碱氯化钠注射液
安通,茶碱愈创甘油醚软胶囊
东日,茶新那敏片
史君轻,蟾酥注射液
芯丹,肠多糖片
维沃,肠内营养粉剂
安素,肠内营养粉剂(TP)
纽纯素,肠内营养粉剂(TP)
赫力广,肠内营养混悬剂
佳维体,肠内营养混悬液
百普力,肠内营养混悬液（SP）
能全素,肠内营养混悬液(TP)
纽荃历,肠内营养混悬液(TP)
能全力,肠内营养混悬液(TPF)
伊力佳,肠内营养混悬液(TPF-D)
康全力,肠内营养混悬液（TPF-DM）
康全甘,肠内营养混悬液(TP-MCT)
士强,肠内营养混悬液(TPSPA)
益菲佳,肠内营养混悬液Ⅱ(TP)
瑞素,肠内营养乳剂(TP)
瑞先,肠内营养乳剂(TPF)
瑞代,肠内营养乳剂(TPF-D)
瑞能,肠内营养乳剂(TPF-T)
瑞高,肠内营养乳剂(TP-HE)
甘舒霖R,常规重组人胰岛素注射液
艾者思,车前番泻颗粒
诺辰,穿琥宁氯化钠注射液
百可迪,穿琥宁氯化钠注射液
康乃克,穿琥宁氯化钠注射液
合尔,穿琥宁氯化钠注射液
康汀,穿琥宁氯化钠注射液
素安,穿琥宁氯化钠注射液
素泰林,穿琥宁氯化钠注射液
意苏格,穿琥宁氯化钠注射液
众生严康,穿琥宁氯化钠注射液
助应素,垂体前叶肾上腺皮质提取物注射液
逢关克,垂体前叶肾上腺皮质提取物注射液
勃然,慈丹胶囊
伊尔,雌二醇缓释贴片
爱斯妥,雌二醇凝胶
诺坤复,雌二醇片
芬吗通,雌二醇片/雌二醇地屈孕酮片复合包装
安今益,雌二醇屈螺酮片
Vagifem,雌二醇阴道片
欧维婷,雌三醇乳膏
欧维婷,雌三醇软膏
伊斯娇,雌三醇栓
伊特乐,雌三醇栓
艾悉,次水杨酸铋分散片
福锦,促肝细胞生长素肠溶胶囊
威佳,促肝细胞生长素注射液
